name,score
瞬間,-0.040766782789830994
感想,-1.1459250668016543
バイオ,-0.19478738926577785
ハザード,-0.2847786384626413
おもしろい,0.08414061231398005
面白い,-0.18676838198611503
コメント,0.2003083342101586
失礼,-0.15419520786337226
トム,0.40525484739519013
クルーズ,-0.004571862357873707
不可能,-0.3610240561435053
構築,0.062239410780808566
社会,0.6255209917892971
信頼,-0.027111546127607845
危機,0.03411439647484479
脱出,0.1696184647382127
早い,-0.6918919925917972
ラスト,0.7953650501820443
続編,0.4078737909268185
組織,-0.3868825878848045
支持,0.06300424566555221
作品,1.3429492590022638
チーム,0.06490450413742199
評価,-1.1527061821626183
確か,-0.5563428024381714
エージェント,-0.006666370335180449
自分,0.49062525572082755
魅力,-0.14169507445030083
不足,-1.0385427790921529
予想,-0.13701762560665223
スパイ,0.4717645194250379
登場,0.08870655310187264
技術,-0.18541064224049678
個性,-0.5191089129943106
メンバー,0.306605114002725
tv,-0.3988926861283574
シリーズ,-0.04025504671722272
親子,0.048193539183491584
女性,0.09131848747811011
新作,-0.3803245424254565
パート,0.3003228128590749
ほしい,-0.8207696195645783
ビートルズ,0.35722791670406584
アルバム,1.3798763805431837
初期,-0.4226058128918682
シングル,-0.0933738606136927
ヒット,-0.6557094029530252
ベスト,0.5020761450827491
勘違い,-0.390502246416427
公開,0.03222778722253556
映画,-0.0821436083254419
受賞,0.24241079174299643
世界,0.1253264240707637
有名,0.0723908821672879
存在,0.8955355553851447
全編,-0.34077859946255645
鑑賞,0.46750324301761575
ない,-1.1433457223633618
デジタル,-0.4100630299520663
完全,-0.28748804057662775
興味,0.3295158899877142
小説,0.411613241793592
原作,-0.2204104406415455
題名,-0.04475022778226671
短編,-0.19961580902021747
代表,0.7867217764506512
掲載,0.048656284933649964
内容,-0.195821301894522
多い,-0.14246592916254594
タイトル,0.05188573236968548
本編,0.07702677305601066
忠実,-0.016001439518114637
ストーリー,-0.4877613069126048
進行,0.08377122086794447
エピソード,-0.01023420361404143
一部,0.23382826980837654
知識,-0.10752719016146627
高校,0.26997667555102806
大人,0.7138643723076935
今回,0.22694090591593322
両方,-0.02855335874175072
無料,-0.41152190534465066
入手,0.5629643336909144
時間,-0.055089225241858386
短い,0.22209738316272262
よい,0.16793538423637228
深い,1.0347379332492805
理解,-0.9396492056530039
オススメ,0.06959665626646004
不思議,0.2996464045321855
関係,-0.04825353194932785
事件,-0.29664195578070607
それぞれ,0.033322734334651063
真実,0.33136426433091115
大きい,-0.057309614856440996
人間,0.23123338975016852
テーマ,0.15694918187948473
方向,0.13451054970828807
正しい,0.10659870388775348
映像,0.014167962134678018
クリア,0.09422577691703439
美しい,1.3907617477928922
現在,0.2627734387831136
視点,0.168562048180101
描写,0.5873340911987268
印象,-0.5496982855231696
相応しい,0.2002526971305271
堪能,0.738266147983817
良い,0.023516164660740694
最高,1.7928028741155813
感動,-0.22993804691693234
ネタ,-0.790923634595709
連続,0.4649131860159747
正直,-0.6732766929717399
感情,-0.1702825997926861
移入,-0.35891400342258223
説明,-0.6388577002767357
無い,-1.1974220116101673
意外,-0.3638504415005903
方法,0.2134204097060569
気持ち,-0.22891189685245886
悪い,-2.4438483558631328
好き,0.48643248240973286
意味,-1.4178439727044907
行動,-0.10428613130033043
変化,0.2046042343259768
脚本,-0.897262324393889
ダメ,-1.196503853315806
アクション,-0.8779006551608146
シーン,0.42270834663395884
カメラ,-0.3675472865080543
カッコ,0.7967158103319045
いい,0.4450608268582659
クール,0.48901702939358693
全盛期,0.10704320766535677
プロデューサー,0.12286287048409558
一番,0.5639632744087439
ロック,1.2028398631887056
プロデュース,0.2399715211211409
商業,0.16453321819511288
成功,0.7760031462602512
個人,0.10414832830879371
失敗,-0.9105647641231114
ipad,0.05817287268694452
反応,-0.2974545265205366
amazon,-0.9814260117106743
商品,-0.5982299021710215
チェック,-0.08363053407586088
欲しい,-0.15242370435771638
画面,-0.2387098888732261
表示,-0.5320908700602079
解像度,-0.22523567764789884
イギリス,0.4176254964191673
集団,-0.2677653285483518
rd,0.23500560297339876
フル,-0.09097924820051262
前作,-0.0411282422158476
全体,-0.25935031888089943
サウンド,0.2928905557899111
ヘヴィ,0.2044243339039746
アレンジ,0.32661614441486686
効果,0.6468493105598008
